sample_s5,time_s
545,0.2725
1224,0.612
1796,0.898
3067,1.5335
4329,2.1645
4874,2.437
5588,2.794
6850,3.425
8118,4.059
8711,4.3555
9384,4.692
10642,5.321
11331,5.6655
11887,5.9435
12704,6.352
14074,7.037
14948,7.474
15885,7.9425
16766,8.383
17668,8.834
18568,9.284
19455,9.7275
20351,10.1755
21231,10.6155
22141,11.0705
23087,11.5435
24046,12.023
25022,12.511
25983,12.9915
26944,13.472
27900,13.95
28840,14.42
29773,14.8865
30715,15.3575
31652,15.826
33553,16.7765
34501,17.2505
35431,17.7155
36371,18.1855
37297,18.6485
38276,19.138
39243,19.6215
40205,20.1025
41171,20.5855
42135,21.0675
43098,21.549
44082,22.041
45072,22.536
46035,23.0175
46987,23.4935
47927,23.9635
48832,24.416
49820,24.91
50766,25.383
51708,25.854
52639,26.3195
53570,26.785
54515,27.2575
55443,27.7215
56397,28.1985
57292,28.646
58219,29.1095
59149,29.5745
60071,30.0355
60988,30.494
61897,30.9485
62812,31.406
63728,31.864
64659,32.3295
65612,32.806
66570,33.285
67553,33.7765
68558,34.279
69551,34.7755
70579,35.2895
71615,35.8075
72655,36.3275
73715,36.8575
74785,37.3925
75830,37.915
76881,38.4405
77937,38.9685
79022,39.511
80112,40.056
81184,40.592
82243,41.1215
83318,41.659
84347,42.1735
85384,42.692
86413,43.2065
87442,43.721
88456,44.228
89483,44.7415
90506,45.253
91528,45.764
92534,46.267
93544,46.772
94554,47.277
95556,47.778
96559,48.2795
97555,48.7775
98581,49.2905
99599,49.7995
100615,50.3075
101643,50.8215
102677,51.3385
103694,51.847
104740,52.37
105772,52.886
106799,53.3995
107804,53.902
108845,54.4225
109861,54.9305
110910,55.455
111956,55.978
113031,56.5155
114091,57.0455
115088,57.544
116137,58.0685
116847,58.4235
117501,58.7505
118126,59.063
119088,59.544
119942,59.971
